Date,Time,Temperature,Relative Temperature,Wind,Rel. Humidity
2014-01-06,2,7.0,4.0,15.0,93.0
2014-01-06,3,7.0,5.0,9.0,93.0
2014-01-06,4,8.0,7.0,6.0,87.0
2014-01-06,5,7.0,6.0,0.0,93.0
2014-01-06,6,8.0,6.0,9.0,93.0
2014-01-06,7,9.0,6.0,19.0,87.0
2014-01-06,8,9.0,8.0,7.0,87.0
2014-01-06,9,6.0,1.0,39.0,71.0
2014-01-06,10,5.0,-1.0,41.0,57.0
2014-01-06,11,4.0,-1.0,24.0,56.0
2014-01-06,12,4.0,-2.0,33.0,48.0
2014-01-06,13,4.0,-1.0,28.0,45.0
2014-01-06,14,4.0,-2.0,41.0,39.0
2014-01-06,15,3.0,-2.0,28.0,38.0
2014-01-06,16,1.0,-5.0,31.0,41.0
2014-01-06,17,0.0,-7.0,33.0,44.0
2014-01-06,18,-3.0,-11.0,31.0,39.0
2014-01-06,19,-6.0,-14.0,30.0,38.0
2014-01-06,20,-8.0,-18.0,39.0,32.0
2014-01-06,21,-9.0,-19.0,37.0,34.0
2014-01-06,22,-11.0,-22.0,35.0,34.0
2014-01-06,23,-11.0,-19.0,20.0,34.0
2014-01-07,0,-12.0,-22.0,30.0,30.0
2014-01-07,1,-13.0,-22.0,22.0,33.0
2014-01-07,2,-13.0,-22.0,22.0,33.0
2014-01-07,3,-13.0,-22.0,20.0,33.0
2014-01-07,4,-14.0,-24.0,26.0,43.0
2014-01-07,5,-14.0,-24.0,24.0,36.0
2014-01-07,6,-14.0,-23.0,20.0,36.0
2014-01-07,7,-14.0,-23.0,19.0,36.0
2014-01-07,8,-13.0,-22.0,20.0,36.0
2014-01-07,9,-12.0,-20.0,19.0,36.0
2014-01-07,10,-11.0,-20.0,26.0,34.0
2014-01-07,11,-9.0,-18.0,28.0,29.0
2014-01-07,12,-8.0,-15.0,17.0,29.0
2014-01-07,13,-7.0,-13.0,17.0,27.0
2014-01-07,14,-7.0,-10.0,0.0,27.0
2014-01-07,15,-7.0,-13.0,13.0,27.0
2014-01-07,16,-7.0,-11.0,7.0,29.0
2014-01-07,17,-8.0,-15.0,17.0,32.0
2014-01-07,18,-8.0,-14.0,15.0,32.0
2014-01-07,19,-9.0,-17.0,20.0,34.0
2014-01-07,20,-9.0,-14.0,11.0,34.0
2014-01-07,21,-9.0,-14.0,11.0,37.0
2014-01-07,22,-9.0,-14.0,11.0,34.0
2014-01-07,23,-9.0,-14.0,11.0,37.0
2014-01-08,0,-10.0,-15.0,9.0,41.0
2014-01-08,1,-10.0,-15.0,9.0,44.0
2014-01-08,2,-10.0,-14.0,7.0,44.0
2014-01-08,3,-10.0,-10.0,0.0,48.0
2014-01-08,4,-9.0,-14.0,9.0,41.0
2014-01-08,5,-10.0,-16.0,11.0,48.0
2014-01-08,6,-9.0,-14.0,11.0,45.0
2014-01-08,7,-8.0,-13.0,9.0,45.0
2014-01-08,8,-6.0,-10.0,7.0,32.0
2014-01-08,9,-6.0,-10.0,9.0,45.0
2014-01-08,10,-5.0,-10.0,13.0,36.0
2014-01-08,11,-4.0,-9.0,13.0,33.0
2014-01-08,12,-3.0,-7.0,11.0,31.0
2014-01-08,13,-2.0,-5.0,9.0,29.0
2014-01-08,14,-1.0,-4.0,9.0,26.0
2014-01-08,15,-1.0,-4.0,9.0,29.0
2014-01-08,16,-1.0,-4.0,9.0,31.0
2014-01-08,17,-1.0,-3.0,6.0,31.0
2014-01-08,18,-1.0,-3.0,6.0,37.0
2014-01-08,19,-2.0,-2.0,0.0,40.0
2014-01-08,20,-2.0,-5.0,7.0,47.0
2014-01-08,21,-2.0,-4.0,6.0,51.0
2014-01-08,22,-1.0,-1.0,0.0,51.0
2014-01-08,23,-1.0,-1.0,0.0,55.0
2014-01-09,0,-1.0,-1.0,0.0,55.0
2014-01-09,1,-1.0,-4.0,7.0,55.0
2014-01-09,2,-1.0,-5.0,13.0,59.0
2014-01-09,3,-1.0,-4.0,7.0,59.0
2014-01-09,4,-1.0,-4.0,7.0,59.0
2014-01-09,5,-2.0,-5.0,9.0,69.0
2014-01-09,6,-2.0,-5.0,9.0,69.0
2014-01-09,7,-1.0,-5.0,11.0,64.0
2014-01-09,8,0.0,-3.0,7.0,60.0
2014-01-09,9,2.0,-2.0,13.0,52.0
2014-01-09,10,2.0,-2.0,13.0,52.0
2014-01-09,11,3.0,0.0,9.0,48.0
2014-01-09,12,4.0,2.0,9.0,42.0
2014-01-09,13,4.0,3.0,6.0,42.0
2014-01-09,14,4.0,2.0,7.0,45.0
2014-01-09,15,4.0,1.0,11.0,48.0
2014-01-09,16,3.0,0.0,13.0,48.0
2014-01-09,17,2.0,0.0,6.0,52.0
2014-01-09,18,1.0,-1.0,6.0,60.0
2014-01-09,19,1.0,1.0,0.0,56.0
2014-01-09,20,1.0,1.0,0.0,60.0
2014-01-09,21,1.0,1.0,0.0,56.0
2014-01-09,22,1.0,1.0,0.0,60.0
2014-01-09,23,1.0,1.0,0.0,60.0
2014-01-10,0,1.0,1.0,0.0,65.0
2014-01-10,1,1.0,-1.0,6.0,65.0
2014-01-10,2,1.0,1.0,0.0,65.0
2014-01-10,3,-2.0,-2.0,0.0,55.0
2014-01-10,4,-2.0,-4.0,6.0,40.0
2014-01-10,5,-2.0,-4.0,6.0,93.0
2014-01-10,6,-1.0,-3.0,6.0,93.0
2014-01-10,7,-1.0,-4.0,9.0,93.0
2014-01-10,8,0.0,-3.0,7.0,100.0
2014-01-10,9,0.0,0.0,0.0,100.0
2014-01-10,10,2.0,0.0,6.0,93.0
2014-01-10,11,3.0,3.0,0.0,87.0
2014-01-10,12,4.0,4.0,0.0,87.0
2014-01-10,13,4.0,3.0,6.0,87.0
2014-01-10,14,4.0,3.0,6.0,87.0
2014-01-10,15,4.0,4.0,0.0,87.0
2014-01-10,16,3.0,0.0,11.0,93.0
2014-01-10,17,3.0,1.0,7.0,93.0
2014-01-10,18,3.0,1.0,7.0,93.0
2014-01-10,19,3.0,0.0,9.0,93.0
2014-01-10,20,3.0,1.0,7.0,93.0
2014-01-10,21,3.0,2.0,6.0,93.0
2014-01-10,22,3.0,2.0,6.0,93.0
2014-01-10,23,3.0,3.0,0.0,93.0
2014-01-11,0,4.0,2.0,9.0,87.0
2014-01-11,1,3.0,0.0,11.0,93.0
2014-01-11,2,3.0,1.0,7.0,93.0
2014-01-11,3,4.0,4.0,0.0,93.0
2014-01-11,4,4.0,4.0,0.0,93.0
2014-01-11,5,4.0,4.0,0.0,87.0
2014-01-11,6,4.0,4.0,0.0,93.0
2014-01-11,7,4.0,4.0,0.0,93.0
2014-01-11,8,4.0,4.0,0.0,93.0
2014-01-11,9,4.0,4.0,0.0,93.0
2014-01-11,10,6.0,4.0,9.0,87.0
2014-01-11,11,6.0,3.0,17.0,87.0
2014-01-11,12,8.0,7.0,7.0,93.0
2014-01-11,13,9.0,8.0,7.0,94.0
2014-01-11,14,12.0,12.0,15.0,94.0
2014-01-11,15,12.0,12.0,15.0,82.0
2014-01-11,16,9.0,7.0,13.0,94.0
2014-01-11,17,9.0,8.0,9.0,94.0
2014-01-11,18,11.0,11.0,26.0,88.0
2014-01-11,19,11.0,11.0,20.0,88.0
